abomasnow|Abomasnow
dialga|Dialga
diancie|Diancie
diggersby|Diggersby
diglett|Diglett
ditto|Ditto
dodrio|Dodrio
doduo|Doduo
donphan|Donphan
doublade|Doublade
dragalge|Dragalge
dragonair|Dragonair
dragonite|Dragonite
drampa|Drampa
drapion|Drapion
dratini|Dratini
drifblim|Drifblim
drifloon|Drifloon
drilbur|Drilbur
drowzee|Drowzee
druddigon|Druddigon
ducklett|Ducklett
dugtrio|Dugtrio
dunsparce|Dunsparce
duosion|Duosion
durant|Durant
dusclops|Dusclops
dusknoir|Dusknoir
duskull|Duskull
dustox|Dustox
dwebble|Dwebble
eelektrik|Eelektrik
eelektross|Eelektross
eevee|Eevee
ekans|Ekans
electabuzz|Electabuzz
electivire|Electivire
electrike|Electrike
electrode|Electrode
elekid|Elekid
elgyem|Elgyem
emboar|Emboar
emolga|Emolga
empoleon|Empoleon
entei|Entei
escavalier|Escavalier
espeon|Espeon
espurr|Espurr
excadrill|Excadrill
exeggcute|Exeggcute
exeggutor|Exeggutor
exploud|Exploud
farfetch_d|Farfetch'd
fearow|Fearow
feebas|Feebas
fennekin|Fennekin
feraligatr|Feraligatr
ferroseed|Ferroseed
ferrothorn|Ferrothorn
finneon|Finneon
flaaffy|Flaaffy
flabebe|Flabébé
flareon|Flareon
fletchinder|Fletchinder
fletchling|Fletchling
floatzel|Floatzel
floette|Floette
florges|Florges
flygon|Flygon
fomantis|Fomantis
foongus|Foongus
forretress|Forretress
fraxure|Fraxure
frillish|Frillish
froakie|Froakie
frogadier|Frogadier
froslass|Froslass
furfrou|Furfrou
furret|Furret
gabite|Gabite
gallade|Gallade
galvantula|Galvantula
garbodor|Garbodor
garchomp|Garchomp
gardevoir|Gardevoir
gastly|Gastly
gastrodon|Gastrodon
genesect|Genesect
gengar|Gengar
geodude|Geodude
gible|Gible
gigalith|Gigalith
girafarig|Girafarig
giratina|Giratina
glaceon|Glaceon
glalie|Glalie
glameow|Glameow
gligar|Gligar
gliscor|Gliscor
gloom|Gloom
gogoat|Gogoat
golbat|Golbat
goldeen|Goldeen
golduck|Golduck
golem|Golem
golett|Golett
golisopod|Golisopod
golurk|Golurk
goodra|Goodra
goomy|Goomy
gorebyss|Gorebyss
gothita|Gothita
gothitelle|Gothitelle
gothorita|Gothorita
gourgeist|Gourgeist
granbull|Granbull
graveler|Graveler
greninja|Greninja
grimer|Grimer
grotle|Grotle
groudon|Groudon
grovyle|Grovyle
growlithe|Growlithe
grubbin|Grubbin
grumpig|Grumpig
gulpin|Gulpin
gumshoos|Gumshoos
gurdurr|Gurdurr
guzzlord|Guzzlord
gyarados|Gyarados
hakamo_o|Hakamo-o
happiny|Happiny
hariyama|Hariyama
haunter|Haunter
hawlucha|Hawlucha
haxorus|Haxorus
heatmor|Heatmor
heatran|Heatran
heliolisk|Heliolisk
helioptile|Helioptile
heracross|Heracross
herdier|Herdier
hippopotas|Hippopotas
hippowdon|Hippowdon
hitmonchan|Hitmonchan
hitmonlee|Hitmonlee
hitmontop|Hitmontop
ho_oh|Ho-Oh
honchkrow|Honchkrow
honedge|Honedge
hoopa|Hoopa
hoothoot|Hoothoot
hoppip|Hoppip
horsea|Horsea
houndoom|Houndoom
houndour|Houndour
huntail|Huntail
hydreigon|Hydreigon
hypno|Hypno
igglybuff|Igglybuff
illumise|Illumise
incineroar|Incineroar
infernape|Infernape
inkay|Inkay
ivysaur|Ivysaur
jangmo_o|Jangmo-o
jellicent|Jellicent
jigglypuff|Jigglypuff
jirachi|Jirachi
jolteon|Jolteon
joltik|Joltik
jumpluff|Jumpluff
jynx|Jynx
kabuto|Kabuto
kabutops|Kabutops
kadabra|Kadabra
kakuna|Kakuna
kangaskhan|Kangaskhan
karrablast|Karrablast
kartana|Kartana
kecleon|Kecleon
keldeo|Keldeo
kingdra|Kingdra
kingler|Kingler
kirlia|Kirlia
klang|Klang
klefki|Klefki
klink|Klink
klinklang|Klinklang
koffing|Koffing
komala|Komala
kommo_o|Kommo-o
krabby|Krabby
kricketot|Kricketot
kricketune|Kricketune
krokorok|Krokorok
krookodile|Krookodile
kyogre|Kyogre
kyurem|Kyurem
lairon|Lairon
lampent|Lampent
landorus|Landorus
lanturn|Lanturn
lapras|Lapras
larvesta|Larvesta
larvitar|Larvitar
latias|Latias
latios|Latios
leafeon|Leafeon
leavanny|Leavanny
ledian|Ledian
ledyba|Ledyba
lickilicky|Lickilicky
lickitung|Lickitung
liepard|Liepard
lileep|Lileep
lilligant|Lilligant
lillipup|Lillipup
linoone|Linoone
litleo|Litleo
litten|Litten
litwick|Litwick
lombre|Lombre
lopunny|Lopunny
lotad|Lotad
loudred|Loudred
lucario|Lucario
ludicolo|Ludicolo
lugia|Lugia
lumineon|Lumineon
lunala|Lunala
lunatone|Lunatone
lurantis|Lurantis
luvdisc|Luvdisc
luxio|Luxio
luxray|Luxray
lycanroc|Lycanroc
machamp|Machamp
machoke|Machoke
machop|Machop
magby|Magby
magcargo|Magcargo
magearna|Magearna
magikarp|Magikarp
magmar|Magmar
magmortar|Magmortar
magnemite|Magnemite
magneton|Magneton
magnezone|Magnezone
makuhita|Makuhita
malamar|Malamar
mamoswine|Mamoswine
manaphy|Manaphy
mandibuzz|Mandibuzz
manectric|Manectric
mankey|Mankey
mantine|Mantine
mantyke|Mantyke
maractus|Maractus
mareanie|Mareanie
mareep|Mareep
marill|Marill
marowak|Marowak
marshadow|Marshadow
marshtomp|Marshtomp
masquerain|Masquerain
mawile|Mawile
medicham|Medicham
meditite|Meditite
meganium|Meganium
melmetal|Melmetal
meloetta|Meloetta
meltan|Meltan
meowstic|Meowstic
meowth|Meowth
mesprit|Mesprit
metagross|Metagross
metang|Metang
metapod|Metapod
mew|Mew
mewtwo|Mewtwo
mienfoo|Mienfoo
mienshao|Mienshao
mightyena|Mightyena
milotic|Milotic
miltank|Miltank
mime_jr|Mime Jr.
mimikyu|Mimikyu
minccino|Minccino
minior|Minior
minun|Minun
misdreavus|Misdreavus
mismagius|Mismagius
moltres|Moltres
monferno|Monferno
morelull|Morelull
mothim|Mothim
mr_mime|Mr. Mime
mudbray|Mudbray
mudkip|Mudkip
mudsdale|Mudsdale
muk|Muk
munchlax|Munchlax
munna|Munna
murkrow|Murkrow
musharna|Musharna
naganadel|Naganadel
natu|Natu
necrozma|Necrozma
nidoking|Nidoking
nidoqueen|Nidoqueen
nidoran_f|Nidoran♀
nidoran_m|Nidoran♂
nidorina|Nidorina
nidorino|Nidorino
nihilego|Nihilego
nincada|Nincada
ninetales|Ninetales
ninjask|Ninjask
noctowl|Noctowl
noibat|Noibat
noivern|Noivern
nosepass|Nosepass
numel|Numel
nuzleaf|Nuzleaf
octillery|Octillery
oddish|Oddish
omanyte|Omanyte
omastar|Omastar
onix|Onix
oranguru|Oranguru
oricorio|Oricorio
oshawott|Oshawott
pachirisu|Pachirisu
palkia|Palkia
palossand|Palossand
palpitoad|Palpitoad
pancham|Pancham
pangoro|Pangoro
panpour|Panpour
pansage|Pansage
pansear|Pansear
paras|Paras
parasect|Parasect
passimian|Passimian
patrat|Patrat
pawniard|Pawniard
pelipper|Pelipper
persian|Persian
petilil|Petilil
phanpy|Phanpy
phantump|Phantump
pheromosa|Pheromosa
phione|Phione
pichu|Pichu
pidgeot|Pidgeot
pidgeotto|Pidgeotto
pidgey|Pidgey
pidove|Pidove
pignite|Pignite
pikachu|Pikachu
pikipek|Pikipek
piloswine|Piloswine
pineco|Pineco
pinsir|Pinsir
piplup|Piplup
plusle|Plusle
poipole|Poipole
politoed|Politoed
poliwag|Poliwag
poliwhirl|Poliwhirl
poliwrath|Poliwrath
ponyta|Ponyta
poochyena|Poochyena
popplio|Popplio
porygon|Porygon
porygon_z|Porygon-Z
porygon2|Porygon2
primarina|Primarina
primeape|Primeape
prinplup|Prinplup
probopass|Probopass
psyduck|Psyduck
pumpkaboo|Pumpkaboo
pupitar|Pupitar
purrloin|Purrloin
purugly|Purugly
pyroar|Pyroar
pyukumuku|Pyukumuku
quagsire|Quagsire
quilava|Quilava
quilladin|Quilladin
qwilfish|Qwilfish
raichu|Raichu
raikou|Raikou
ralts|Ralts
rampardos|Rampardos
rapidash|Rapidash
raticate|Raticate
rattata|Rattata
rayquaza|Rayquaza
regice|Regice
regigigas|Regigigas
regirock|Regirock
registeel|Registeel
relicanth|Relicanth
remoraid|Remoraid
reshiram|Reshiram
reuniclus|Reuniclus
rhydon|Rhydon
rhyhorn|Rhyhorn
rhyperior|Rhyperior
ribombee|Ribombee
riolu|Riolu
rockruff|Rockruff
roggenrola|Roggenrola
roselia|Roselia
roserade|Roserade
rotom|Rotom
rowlet|Rowlet
rufflet|Rufflet
sableye|Sableye
salamence|Salamence
salandit|Salandit
salazzle|Salazzle
samurott|Samurott
sandile|Sandile
sandshrew|Sandshrew
sandslash|Sandslash
sandygast|Sandygast
sawk|Sawk
sawsbuck|Sawsbuck
scatterbug|Scatterbug
sceptile|Sceptile
scizor|Scizor
scolipede|Scolipede
scrafty|Scrafty
scraggy|Scraggy
scyther|Scyther
seadra|Seadra
seaking|Seaking
sealeo|Sealeo
seedot|Seedot
seel|Seel
seismitoad|Seismitoad
sentret|Sentret
serperior|Serperior
servine|Servine
seviper|Seviper
sewaddle|Sewaddle
sharpedo|Sharpedo
shaymin|Shaymin
shedinja|Shedinja
shelgon|Shelgon
shellder|Shellder
shellos|Shellos
shelmet|Shelmet
shieldon|Shieldon
shiftry|Shiftry
shiinotic|Shiinotic
shinx|Shinx
shroomish|Shroomish
shuckle|Shuckle
shuppet|Shuppet
sigilyph|Sigilyph
silcoon|Silcoon
silvally|Silvally
simipour|Simipour
simisage|Simisage
simisear|Simisear
skarmory|Skarmory
skiddo|Skiddo
skiploom|Skiploom
skitty|Skitty
skorupi|Skorupi
skrelp|Skrelp
skuntank|Skuntank
slaking|Slaking
slakoth|Slakoth
sliggoo|Sliggoo
slowbro|Slowbro
slowking|Slowking
slowpoke|Slowpoke
slugma|Slugma
slurpuff|Slurpuff
smeargle|Smeargle
smoochum|Smoochum
sneasel|Sneasel
snivy|Snivy
snorlax|Snorlax
snorunt|Snorunt
snover|Snover
snubbull|Snubbull
solgaleo|Solgaleo
solosis|Solosis
solrock|Solrock
spearow|Spearow
spewpa|Spewpa
spheal|Spheal
spinarak|Spinarak
spinda|Spinda
spiritomb|Spiritomb
spoink|Spoink
spritzee|Spritzee
squirtle|Squirtle
stakataka|Stakataka
stantler|Stantler
staraptor|Staraptor
staravia|Staravia
starly|Starly
starmie|Starmie
staryu|Staryu
steelix|Steelix
steenee|Steenee
stoutland|Stoutland
stufful|Stufful
stunfisk|Stunfisk
stunky|Stunky
sudowoodo|Sudowoodo
suicune|Suicune
sunflora|Sunflora
sunkern|Sunkern
surskit|Surskit
swablu|Swablu
swadloon|Swadloon
swalot|Swalot
swampert|Swampert
swanna|Swanna
swellow|Swellow
swinub|Swinub
swirlix|Swirlix
swoobat|Swoobat
sylveon|Sylveon
taillow|Taillow
talonflame|Talonflame
tangela|Tangela
tangrowth|Tangrowth
tapu_bulu|Tapu Bulu
tapu_fini|Tapu Fini
tapu_koko|Tapu Koko
tapu_lele|Tapu Lele
tauros|Tauros
teddiursa|Teddiursa
tentacool|Tentacool
tentacruel|Tentacruel
tepig|Tepig
terrakion|Terrakion
throh|Throh
thundurus|Thundurus
timburr|Timburr
tirtouga|Tirtouga
togedemaru|Togedemaru
togekiss|Togekiss
togepi|Togepi
togetic|Togetic
torchic|Torchic
torkoal|Torkoal
tornadus|Tornadus
torracat|Torracat
torterra|Torterra
totodile|Totodile
toucannon|Toucannon
toxapex|Toxapex
toxicroak|Toxicroak
tranquill|Tranquill
trapinch|Trapinch
treecko|Treecko
trevenant|Trevenant
tropius|Tropius
trubbish|Trubbish
trumbeak|Trumbeak
tsareena|Tsareena
turtonator|Turtonator
turtwig|Turtwig
tympole|Tympole
tynamo|Tynamo
type_null|Type: Null
typhlosion|Typhlosion
tyranitar|Tyranitar
tyrantrum|Tyrantrum
tyrogue|Tyrogue
tyrunt|Tyrunt
umbreon|Umbreon
unfezant|Unfezant
unown|Unown
ursaring|Ursaring
uxie|Uxie
vanillish|Vanillish
vanillite|Vanillite
vanilluxe|Vanilluxe
vaporeon|Vaporeon
venipede|Venipede
venomoth|Venomoth
venonat|Venonat
venusaur|Venusaur
vespiquen|Vespiquen
vibrava|Vibrava
victini|Victini
victreebel|Victreebel
vigoroth|Vigoroth
vikavolt|Vikavolt
vileplume|Vileplume
virizion|Virizion
vivillon|Vivillon
volbeat|Volbeat
volcanion|Volcanion
volcarona|Volcarona
voltorb|Voltorb
vullaby|Vullaby
vulpix|Vulpix
wailmer|Wailmer
wailord|Wailord
walrein|Walrein
wartortle|Wartortle
watchog|Watchog
weavile|Weavile
weedle|Weedle
weepinbell|Weepinbell
weezing|Weezing
whimsicott|Whimsicott
whirlipede|Whirlipede
whiscash|Whiscash
whismur|Whismur
wigglytuff|Wigglytuff
wimpod|Wimpod
wingull|Wingull
wishiwashi|Wishiwashi
wobbuffet|Wobbuffet
woobat|Woobat
wooper|Wooper
wormadam|Wormadam
wurmple|Wurmple
wynaut|Wynaut
xatu|Xatu
xerneas|Xerneas
xurkitree|Xurkitree
yamask|Yamask
yanma|Yanma
yanmega|Yanmega
yungoos|Yungoos
yveltal|Yveltal
zangoose|Zangoose
zapdos|Zapdos
zebstrika|Zebstrika
zekrom|Zekrom
zeraora|Zeraora
zigzagoon|Zigzagoon
zoroark|Zoroark
zorua|Zorua
zubat|Zubat
zweilous|Zweilous
zygarde|Zygarde
